cui,term,target_similarity,article_count,mgb_freq,importance_score,phenotyping_features,expanded_features,symnonym_cui,symnonym_term,acronym_cui,acronym_term
C1963758,Immunomodulation,0.1868,4,0.0064,0.475,FALSE,TRUE,,,,
C0339662,Afferent Pupillary Defect,0.2199,3,0.0052,0.4713,FALSE,TRUE,,,,
C4050309,Central Nervous System Involvement,0.2214,3,0.0076,0.4666,FALSE,TRUE,,,,
C0040997,Trigeminal Neuralgia,0.19,5,0.0152,0.4664,FALSE,TRUE,,,AB0000tn,tn
C0036429,Sclerosis,0.297,7,0.3634,0.4632,FALSE,TRUE,,,,
C0235946,Cerebral atrophy,0.1659,8,0.0184,0.4611,FALSE,TRUE,C0154671,Degenerative brain disorder,,
C0024485,Magnetic Resonance Imaging,0.2652,8,0.3008,0.4523,FALSE,TRUE,C0917711,MRI Scans,AB0000mr; AB000mri; AB000nmr; AB00nmri,mr; mri; nmr; nmri
C3665386,Abnormal vision,0.2357,7,0.1278,0.4471,FALSE,TRUE,C0042790,Vision Disorders,,
C0237607,Practice Experience,0.214,11,0.1874,0.4463,FALSE,TRUE,,,,
C4723839,irPD (Immune-Related Response Criteria),0.2534,4,0.0458,0.4461,FALSE,TRUE,,,AB00irpd,irpd
C0004609,Baclofen,0.2518,4,0.0614,0.4323,FALSE,TRUE,C0699999; C2954264,Lioresal; Gablofen,,
C5202924,Global Progressive Disease in Skin,0.2443,4,0.0458,0.4301,FALSE,TRUE,,,AB0000pd,pd
C0741548,bladder symptoms,0.3295,2,0.0374,0.4182,FALSE,TRUE,,,,
C0037763,Spasm,0.2666,7,0.3598,0.4167,FALSE,TRUE,C3887506,Hyperkinesia,,
C0221423,Illness (finding),0.3138,6,0.6134,0.4123,FALSE,TRUE,C4737703,patient illness,AB00sick,sick
C1522240,Process,0.2327,8,0.2164,0.4072,FALSE,TRUE,,,,
C0221198,Lesion,0.2213,15,0.8046,0.4064,FALSE,TRUE,,,,
C4084203,Improved - answer to question,0.1774,7,0.0372,0.406,FALSE,TRUE,,,,
C3887651,Palsy,0.2919,2,0.0242,0.4047,FALSE,TRUE,C0522224,Paralysed,,
C0039082,Syndrome,0.2594,8,0.4034,0.4039,FALSE,TRUE,,,,
C0004134,Ataxia,0.2328,6,0.1328,0.4026,FALSE,TRUE,C4554639; C0231686,"Ataxia, CTCAE 5.0; Gait, Unsteady",,
C1561270,Adverse Event Associated with Neurology,0.2577,7,0.4036,0.4016,FALSE,TRUE,,,,
C0436596,On examination - apathetic,0.2876,2,0.0236,0.4008,FALSE,TRUE,,,,
C1299586,Has difficulty doing (qualifier value),0.2749,6,0.394,0.4004,FALSE,TRUE,,,,
C0043143,wheelchair,0.2098,5,0.043,0.3947,FALSE,TRUE,,,,
C0443306,Spastic,0.2217,3,0.021,0.3902,FALSE,TRUE,,,,
C0027627,Neoplasm Metastasis,0.1738,13,0.1884,0.3886,FALSE,TRUE,,,,
C0025260,Memory,0.2279,3,0.0266,0.3883,FALSE,TRUE,,,,
C0525041,Neurobehavioral Manifestations,0.2802,2,0.0248,0.3867,FALSE,TRUE,,,,
C4263551,Multisection for pediatrics,0.2261,6,0.1626,0.3772,FALSE,TRUE,,,,
C1269683,Major Depressive Disorder,0.3428,3,0.118,0.3727,FALSE,TRUE,C0011570,Mental Depression,AB000mdd,mdd
C4721418,Legally Separated,0.2374,6,0.1946,0.3716,FALSE,TRUE,,,,
C0232841,Bladder dysfunction,0.174,5,0.0278,0.3677,FALSE,TRUE,,,,
C0012569,Diplopia,0.2028,8,0.2404,0.3676,FALSE,TRUE,,,,
C0242656,Disease Progression,0.17,7,0.071,0.3626,FALSE,TRUE,C4552808,"Disease Progression, CTCAE",,
C3263723,Traumatic injury,0.2381,9,0.8196,0.3611,FALSE,TRUE,C3714660,Trauma,,
C4042908,Seroconversion,0.2063,2,0.0066,0.3596,FALSE,TRUE,,,,
C0042024,Urinary Incontinence,0.2626,5,0.274,0.3589,FALSE,TRUE,C4553924,"Urinary Incontinence, CTCAE 5.0",,
C0849867,Generalized illness,0.2263,2,0.012,0.3585,FALSE,TRUE,,,,
C0004364,Autoimmune Diseases,0.1868,6,0.1122,0.3577,FALSE,TRUE,C0004368; C4553718,"Autoimmune state; Autoimmune Disorder, CTCAE",,
C2239268,magnets - physical therapy modality,0.224,2,0.0116,0.357,FALSE,TRUE,,,,
C0013362,Dysarthria,0.2237,5,0.0984,0.3566,FALSE,TRUE,C4553903,"Dysarthria, CTCAE",,
C0002403,Amantadine,0.2003,3,0.0132,0.3552,FALSE,TRUE,C0936072,Amantadine Hydrochloride,,
C0422943,Visual symptoms,0.2281,3,0.0386,0.355,FALSE,TRUE,,,,
C5202689,HIV Seroconversion,0.2071,2,0.0076,0.3537,FALSE,TRUE,,,,
C0021368,Inflammation,0.2301,8,0.504,0.3533,FALSE,TRUE,C0333348,Inflammatory,,
C0235146,Euphoric mood,0.1852,3,0.0186,0.3525,FALSE,TRUE,C4553586,"Euphoria, CTCAE 5.0",,
C4551583,Cerebral cortical atrophy,0.2839,2,0.0102,0.352,FALSE,TRUE,,,,
C0003469,Anxiety Disorders,0.3447,4,0.7256,0.3472,FALSE,TRUE,,,,
C0037928,Spinal Cord Diseases,0.1754,5,0.044,0.3458,FALSE,TRUE,,,,
C5401372,CTRP Disease Finding,0.2629,2,0.0078,0.3446,FALSE,TRUE,,,,
C1291764,Immune System Finding,0.1908,5,0.09,0.3435,FALSE,TRUE,,,,
C0025815,Methylprednisolone,0.223,5,0.147,0.3429,FALSE,TRUE,C0699458,Medrol,,
C0007758,Cerebellar Ataxia,0.1959,6,0.1262,0.3421,FALSE,TRUE,,,,
C0579152,Bladder problem,0.169,5,0.0236,0.3391,FALSE,TRUE,,,,
C3665346,Unspecified visual loss,0.2081,5,0.1158,0.3384,FALSE,TRUE,,,,
C0012634,Disease,0.1792,17,0.961,0.3361,FALSE,TRUE,C0457464,types of diseases,,
C0018681,Headache,0.2734,6,0.7254,0.3355,FALSE,TRUE,C4553197; C4685181; C4686248; C4688533,"Headache, CTCAE; Grade 1 Headache, CTCAE; Grade 3 Headache, CTCAE; Grade 2 Headache, CTCAE",AB0000ha,ha
C0041696,Unipolar Depression,0.3092,3,0.1196,0.3353,FALSE,TRUE,C0011570,Mental Depression,,
C3539106,Sufficiently defined concept definition status (core metadata concept),0.1943,9,0.3282,0.3349,FALSE,TRUE,,,,
C0700327,Memory observations,0.2151,3,0.0414,0.3348,FALSE,TRUE,C2266643,assessment of memory,,
C0684336,Impaired health,0.2698,5,0.4088,0.3344,FALSE,TRUE,,,,
C0234518,Slurred speech,0.2066,5,0.1244,0.3339,FALSE,TRUE,,,AB00slur,slur
C0004083,Mental association,0.1706,8,0.1482,0.3331,FALSE,TRUE,,,,
C0005956,Bone Marrow Diseases,0.1688,5,0.0448,0.3314,FALSE,TRUE,,,,
C0271051,Macular retinal edema,0.1731,3,0.0088,0.3313,FALSE,TRUE,,,,
C0036454,Scotoma,0.2041,3,0.0272,0.3292,FALSE,TRUE,,,,
C0086045,Mental concentration,0.2313,4,0.1306,0.3291,FALSE,TRUE,,,,
C0025611,Methamphetamine,0.2182,3,0.0238,0.328,FALSE,TRUE,,,AB000ice; AB00meth; AB00tina,ice; meth; tina
C1556682,Adverse Event Associated with Infection,0.2083,10,0.7638,0.3272,FALSE,TRUE,,,,
C1363945,Therapy Object (animal model),0.2113,10,0.8186,0.327,FALSE,TRUE,,,,
C0596545,Experience,0.2183,6,0.3372,0.3267,FALSE,TRUE,,,,
C0270612,Leukoencephalopathy,0.2978,2,0.0306,0.3262,FALSE,TRUE,C4553203,"Leukoencephalopathy, CTCAE",,
C3263722,Traumatic AND/OR non-traumatic injury,0.2182,8,0.6114,0.3241,FALSE,TRUE,,,,
C0003537,Aphasia,0.1851,5,0.0702,0.324,FALSE,TRUE,,,,
C0525045,Mood Disorders,0.2391,4,0.1312,0.3216,FALSE,TRUE,C1291710,Disturbance in affect (finding),,
C0042571,Vertigo,0.2218,7,0.6648,0.314,FALSE,TRUE,C4554002; C0012833,"Vertigo, CTCAE; Dizziness",,
C0019202,Hepatolenticular Degeneration,0.2704,1,0.007,0.3124,FALSE,TRUE,,,AB0000wd; AB000wnd,wd; wnd
C0231217,Multiple symptoms,0.2148,4,0.069,0.3111,FALSE,TRUE,,,,
C0544452,Disease remission,0.1776,7,0.2244,0.3107,FALSE,TRUE,,,,
C0038435,Stress,0.3235,3,0.32,0.3101,FALSE,TRUE,C0038443; C0038441,"Stress, Psychological; Stress Disorders, Traumatic",,
C0439044,Living Alone,0.2036,6,0.1928,0.3092,FALSE,TRUE,,,,
C0028643,Numbness,0.2467,5,0.6654,0.307,FALSE,TRUE,C0278134; C0423581,Absence of sensation; Have Numbness,,
C0003467,Anxiety,0.3062,4,0.7578,0.3065,FALSE,TRUE,C1561361; C4552735; C2239195; C0860603,"Grade 1 Anxiety, CTCAE; Anxiety, CTCAE 5.0; Anxious mood; Anxiety symptoms",,
C0235031,Neurologic Symptoms,0.2006,5,0.1478,0.3048,FALSE,TRUE,,,,
C0009450,Communicable Diseases,0.1942,10,0.7854,0.3039,FALSE,TRUE,C0041849; C3714514,"Infectious and parasitic diseases, unspecified; Infection",AB0000id,id
C0036572,Seizures,0.223,6,0.4854,0.3023,FALSE,TRUE,C4553401,"Seizure, CTCAE 5.0",AB000fit; AB00fits; AB0000sz,fit; fits; sz
C0332461,Plaque (lesion),0.1874,7,0.348,0.3021,FALSE,TRUE,,,,
C0009024,Clonus,0.2253,3,0.0676,0.3021,FALSE,TRUE,,,,
C0022423,Judgment,0.2462,3,0.172,0.302,FALSE,TRUE,,,,
C3839460,Nonprogressive,0.243,3,0.1012,0.3012,FALSE,TRUE,,,,
C0549622,Sexual Dysfunction,0.1668,5,0.0542,0.3009,FALSE,TRUE,,,,
C5142828,Full recovery,0.167,4,0.035,0.3006,FALSE,TRUE,,,,
C0040822,Tremor,0.2278,5,0.3638,0.2986,FALSE,TRUE,C4554265; C0234369,"Tremor, CTCAE 5.0; Trembling",,
C0543488,Interested,0.2083,4,0.1128,0.2983,FALSE,TRUE,,,,
C0085633,Mood swings,0.2037,4,0.161,0.2982,FALSE,TRUE,,,,
C0021345,Infectious Mononucleosis,0.1941,2,0.0202,0.298,FALSE,TRUE,C0272210,Mononucleosis syndrome,AB00mono,mono
C0030554,Paresthesia,0.2005,7,0.5952,0.2967,FALSE,TRUE,C4553220; C0235046,"Paresthesia, CTCAE; Paraesthesia skin",,
C0000768,Congenital Abnormality,0.2177,7,0.7276,0.296,FALSE,TRUE,C0266647; C0151491; C0000772,Congenital anomalies of fetus; Congenital musculoskeletal anomalies; Multiple congenital anomalies,,
C0004368,Autoimmune state,0.1768,2,0.0128,0.2958,FALSE,TRUE,C0004364,Autoimmune Diseases,,
C0679575,Neuroimaging,0.1818,4,0.0662,0.2957,FALSE,TRUE,,,,
C4028269,Nuclear magnetic resonance imaging brain,0.1893,7,0.2968,0.2956,FALSE,TRUE,,,,
C1306577,Death (finding),0.2194,5,0.3278,0.2952,FALSE,TRUE,C0011065; C1546956,Cessation of life; Patient Outcome - Died,AB00dead; AB00died,dead; died
C1509143,Physical assessment findings,0.2557,5,0.9548,0.2949,FALSE,TRUE,,,,
C0005525,Biological Response Modifiers,0.2162,3,0.0648,0.2934,FALSE,TRUE,,,AB000brm,brm
C0522224,Paralysed,0.2097,4,0.152,0.2925,FALSE,TRUE,C0018991; C0030486; C0034372; C3887651,Hemiplegia; Paraplegia; Quadriplegia; Palsy,,
C2936842,Vitamin D [EPC],0.1829,8,0.5358,0.2917,FALSE,TRUE,C0042866,Vitamin D,,
C1964257,Observation - diagnostic procedure,0.1967,3,0.0526,0.2916,FALSE,TRUE,,,,
C0687702,Cancer Remission,0.1688,6,0.155,0.2915,FALSE,TRUE,,,,
C1838681,Rapidly progressive,0.201,3,0.0264,0.2907,FALSE,TRUE,,,,
C0014544,Epilepsy,0.1787,5,0.1026,0.2904,FALSE,TRUE,C0234972,Convulsive disorder,,
C0020580,Hypesthesia,0.2334,5,0.6724,0.29,FALSE,TRUE,,,,
C0860603,Anxiety symptoms,0.2837,4,0.678,0.2887,FALSE,TRUE,C0003467,Anxiety,,
C0027404,Narcolepsy,0.2218,2,0.0124,0.2873,FALSE,TRUE,,,,
C0079595,Imaging Techniques,0.2113,7,0.867,0.2872,FALSE,TRUE,,,,
C0456909,Blindness,0.1737,5,0.1288,0.2867,FALSE,TRUE,C3665347,Visual Impairment,,
C3887506,Hyperkinesia,0.2119,4,0.1252,0.2866,FALSE,TRUE,C0037763,Spasm,,
C0558058,Reflecting,0.194,6,0.4034,0.2813,FALSE,TRUE,,,,
C0229992,Psyche structure,0.311,2,0.3152,0.2813,FALSE,TRUE,,,AB00mind,mind
C0013781,Shock from electric current,0.172,3,0.0184,0.2808,FALSE,TRUE,C1556061,Electrical Injuries,,
C0015967,Fever,0.2316,6,0.7828,0.2804,FALSE,TRUE,C4552740,"Fever, CTCAE",,
C4551761,Excessive daytime sleepiness,0.257,2,0.033,0.2751,FALSE,TRUE,,,AB000eds,eds
C0277785,Functional disorder,0.1754,8,0.4056,0.2746,FALSE,TRUE,,,,
C0032989,Multiple Pregnancy,0.2471,1,0.0092,0.2737,FALSE,TRUE,,,,
C0005586,Bipolar Disorder,0.263,2,0.0708,0.2728,FALSE,TRUE,,,AB00bpad,bpad
C0008300,Choice Behavior,0.1846,6,0.2926,0.2719,FALSE,TRUE,,,,
C0009806,Constipation,0.237,5,0.7056,0.2714,FALSE,TRUE,C1559282; C1963087; C0729262; C0237326,"Grade 1 Constipation, CTCAE; Constipation, CTCAE; Slow transit constipation; Dyschezia",,
C0080274,Urinary Retention,0.1986,4,0.155,0.2674,FALSE,TRUE,C1558141; C0849752,"Urinary Retention, CTCAE; Unable to urinate",,
C0919758,Vitamin D measurement,0.1669,8,0.536,0.2662,FALSE,TRUE,,,AB00vitd,vitd
C0233496,Aversion (finding),0.1955,2,0.027,0.2652,FALSE,TRUE,,,,
C0042866,Vitamin D,0.168,8,0.578,0.2649,FALSE,TRUE,C0008318; C0014695; C2936842,Cholecalciferol; Ergocalciferol; Vitamin D [EPC],,
C2242996,Has tingling sensation,0.2353,4,0.532,0.2629,FALSE,FALSE,C0235050,Tingling of skin,,
C0042798,Low Vision,0.1717,4,0.106,0.2623,FALSE,FALSE,C1456582; C3665347; C4553853,"Vision Impairment and Blindness; Visual Impairment; Vision Decreased, CTCAE",,
C0242350,Erectile dysfunction,0.1917,4,0.1346,0.2622,FALSE,FALSE,C0156309; C1961100; C2187990,"Impotence of organic origin; Erectile Dysfunction, CTCAE; Unable to perform sex",AB0000ed,ed
C0424755,Fever symptoms (finding),0.229,5,0.7258,0.2605,FALSE,FALSE,,,,
C0027813,Neuritis,0.2336,2,0.0272,0.2602,FALSE,FALSE,C4721453,Peripheral Nervous System Diseases,,
C0426980,Motor symptoms,0.388,1,0.0164,0.2597,FALSE,FALSE,,,,
C5441521,Complaint (finding),0.2544,4,0.6152,0.2597,FALSE,FALSE,,,,
C2745965,Emergencies [Disease/Finding],0.2136,3,0.1818,0.2594,FALSE,FALSE,,,,
C0025322,Premature Menopause,0.1997,2,0.025,0.2587,FALSE,FALSE,C4552916,"Premature Menopause, CTCAE",AB000pof,pof
C0026975,Myelitis,0.2666,1,0.0052,0.2565,FALSE,FALSE,C1963178,"Myelitis, CTCAE",,
C2362914,clinical depression,0.1813,2,0.009,0.2558,FALSE,FALSE,C0011570,Mental Depression,,
C4699165,Decreased function,0.2511,1,0.015,0.2553,FALSE,FALSE,,,,
C0425245,Mobility as a finding,0.205,5,0.5744,0.2549,FALSE,FALSE,C0578264,Wheelchair mobility,,
C0011923,Diagnostic Imaging,0.2046,6,0.8678,0.2542,FALSE,FALSE,C1881134,imaging studies,,
C0009241,Cognition Disorders,0.252,2,0.0544,0.2532,FALSE,FALSE,,,,
C3714625,Neuropathic pain,0.2046,3,0.1034,0.2523,FALSE,FALSE,,,,
C3542961,NERVOUS SYSTEM DRUGS,0.1768,2,0.03,0.2508,FALSE,FALSE,,,,
C0023508,White Blood Cell Count procedure,0.1873,5,0.3624,0.25,FALSE,FALSE,,,AB000wbc,wbc
C0427190,"Ataxia, Truncal",0.1832,2,0.0112,0.2492,FALSE,FALSE,,,,
C0030486,Paraplegia,0.1834,2,0.018,0.2491,FALSE,FALSE,C0154702; C0522224,Monoplegia of lower limb; Paralysed,,
C0022885,Laboratory Procedures,0.1955,6,0.8658,0.2487,FALSE,FALSE,C0200378; C0681827,Laboratory test panel; laboratory studies,AB00test,test
C0520966,Abnormal coordination,0.1984,3,0.0758,0.2474,FALSE,FALSE,C0563243,Poor coordination,,
C3541902,Measured Tumor Identification,0.1822,6,0.5786,0.2472,FALSE,FALSE,,,,
C1696465,placebo,0.1687,3,0.0434,0.2466,FALSE,FALSE,,,,
C0423572,Pins and needles,0.2462,2,0.1252,0.2463,FALSE,FALSE,,,,
C0687129,Encounter due to vagabond status,0.1761,6,0.3558,0.246,FALSE,FALSE,,,AB00hobo,hobo
C0013956,Emergency Situation,0.2022,3,0.1852,0.2448,FALSE,FALSE,,,,
C0013604,Edema,0.2413,4,0.728,0.2438,FALSE,FALSE,C0268000; C1265805,Body fluid retention; secondary edema,,
C1167996,B lymphocyte count procedure,0.3566,1,0.0164,0.2436,FALSE,FALSE,,,,
C4699158,Increased risk,0.1674,6,0.3274,0.243,FALSE,FALSE,,,,
C0034991,Rehabilitation therapy,0.1978,4,0.4634,0.2419,FALSE,FALSE,,,,
C0751587,CADASIL Syndrome,0.3026,1,0.0174,0.2394,FALSE,FALSE,,,,
C0021167,Incontinence,0.2058,4,0.3664,0.2386,FALSE,FALSE,,,,
C0555903,Total protein measurement,0.1755,7,0.729,0.2386,FALSE,FALSE,,,AB00prot,prot
C0011119,Decompression Sickness,0.2266,3,0.4348,0.2375,FALSE,FALSE,,,AB00bend,bend
C0023185,Learning,0.224,3,0.1808,0.2371,FALSE,FALSE,,,,
C4263342,Multisection metabolic,0.2723,3,0.392,0.2345,FALSE,FALSE,,,,
C1704241,complex (molecular entity),0.2018,3,0.109,0.2344,FALSE,FALSE,,,,
C0436145,Examination of reflexes,0.2111,4,0.5892,0.2342,FALSE,FALSE,C0034933,"Reflex, Abnormal",,
C0085639,Falls,0.196,5,0.7292,0.2334,FALSE,FALSE,C1561668,History of fall,AB00fall,fall
C0034935,Babinski Reflex,0.1833,3,0.1064,0.233,FALSE,FALSE,,,,
C0542538,Observation of Sensation,0.1955,5,0.7758,0.2323,FALSE,FALSE,,,,
C0679199,Strategy,0.1662,6,0.3762,0.2319,FALSE,FALSE,,,,
C0009566,Complication,0.1689,7,0.7378,0.2318,FALSE,FALSE,,,,
C0026826,Muscle Hypertonia,0.2299,2,0.052,0.2314,FALSE,FALSE,,,,
C0455624,History of - risk factor,0.1949,4,0.4626,0.2314,FALSE,FALSE,,,,
C0919386,Pathology procedure,0.1744,7,0.761,0.2305,FALSE,FALSE,,,AB00path,path
C0035280,Retention (Psychology),0.1974,3,0.1806,0.2304,FALSE,FALSE,,,,
C1540677,neuropathology disease,0.1684,2,0.0158,0.2303,FALSE,FALSE,,,,
C1527305,Feelings,0.2559,4,0.9048,0.2302,FALSE,FALSE,,,AB00feel,feel
C0233844,Clumsiness,0.1863,2,0.0428,0.2301,FALSE,FALSE,C0003635,Apraxias,,
C0038999,Swelling,0.212,4,0.7954,0.2282,FALSE,FALSE,,,,
C0021400,Influenza,0.2077,4,0.6504,0.2275,FALSE,FALSE,,,AB000flu; AB00flus; AB00grip,flu; flus; grip
C0037369,Smoking,0.2002,4,0.6452,0.2263,FALSE,FALSE,C0337666; C0453996; C0700219,Cigar smoker; Tobacco smoking behavior; Cigarette smoking behavior,,
C0004604,Back Pain,0.2295,4,0.6034,0.2262,FALSE,FALSE,C1557406; C4553945; C0024031,"Grade 1 Back Pain, CTCAE; Back Pain, CTCAE 5.0; Low Back Pain",,
C0332293,Treated with,0.213,4,0.7086,0.2242,FALSE,FALSE,,,AB0000tw,tw
C0358514,Diagnostic agents,0.1658,7,0.6804,0.224,FALSE,FALSE,,,,
C1881674,Medical Device Emits Smoke,0.1946,4,0.623,0.2211,FALSE,FALSE,,,,
C0085584,Encephalopathies,0.1769,3,0.0532,0.2207,FALSE,FALSE,C4554030; C0006111,"Encephalopathy, CTCAE 5.0; Brain Diseases",,
C0309093,FLAIR (product),0.2041,3,0.199,0.2207,FALSE,FALSE,,,,
C0720099,Duration brand of oxymetazoline,0.1839,6,0.723,0.2206,FALSE,FALSE,,,,
C0392699,Dysesthesia,0.21,2,0.0426,0.2201,FALSE,FALSE,C4553108,"Dysesthesia, CTCAE",,
C0040808,Treatment Protocols,0.1844,5,0.664,0.2201,FALSE,FALSE,,,,
C0497327,Dementia,0.2413,2,0.1366,0.219,FALSE,FALSE,C0231337,Senility,,
C0150055,Chronic pain,0.2491,2,0.2738,0.2165,FALSE,FALSE,,,,
C0542476,Forgetful,0.1706,3,0.1822,0.2152,FALSE,FALSE,C0233794,Memory impairment,,
C0442743,Noninflammatory,0.1899,1,0.008,0.215,FALSE,FALSE,,,,
C0595998,Household composition,0.2325,3,0.7406,0.2148,FALSE,FALSE,,,,
C1609432,manifestations of immunopathology,0.2693,1,0.051,0.2144,FALSE,FALSE,,,,
C0202385,Fluoxetine measurement,0.2147,2,0.0864,0.2141,FALSE,FALSE,,,,
C0002957,Anger,0.2458,1,0.0146,0.2139,FALSE,FALSE,,,AB000mad,mad
C0152032,Urinary hesitation,0.1777,3,0.119,0.2133,FALSE,FALSE,,,,
C3469597,Administration of medication,0.1697,5,0.4236,0.2118,FALSE,FALSE,C0150270; C0806914,Medication Management; Medication administered,,
C0009671,Conflict (Psychology),0.1883,2,0.0618,0.2114,FALSE,FALSE,,,,
C0027497,Nausea,0.2422,3,0.7734,0.2113,FALSE,FALSE,C1556472; C1556473; C4553767,"Grade 1 Nausea, CTCAE; Grade 2 Nausea, CTCAE; Nausea, CTCAE 5.0",,
C0011265,Presenile dementia,0.2306,2,0.1358,0.2095,FALSE,FALSE,,,,
C0043251,Wounds and Injuries,0.2406,3,0.7478,0.2088,FALSE,FALSE,,,,
C0876926,Traumatic Brain Injury,0.1889,2,0.0198,0.2082,FALSE,FALSE,C0270611,Brain Injuries,AB000tbi,tbi
C3665347,Visual Impairment,0.227,2,0.1778,0.2081,FALSE,FALSE,C0456909; C0741564; C0042798; C0547030,Blindness; Partial sight; Low Vision; Visual disturbance,,
C0085632,Apathy,0.1701,2,0.046,0.207,FALSE,FALSE,C0332238,Indifferent,,
C0596002,Observation of reflex,0.1701,5,0.6718,0.2066,FALSE,FALSE,,,,
C0027796,Neuralgia,0.1734,3,0.1266,0.2057,FALSE,FALSE,C4551928,"Neuralgia, CTCAE",,
C0019247,Hereditary Diseases,0.1673,2,0.0396,0.2057,FALSE,FALSE,C3648695,inherited genetic conditions,,
C2183261,diagnostic service sources radiology labs sonography (includes renal),0.1777,2,0.0486,0.2054,FALSE,FALSE,,,,
C3537736,Once A Day,0.2055,3,0.3444,0.205,FALSE,FALSE,,,,
