Variable,Description,target_similarity,importance_score,phenotyping_features,expanded_features
PheCode:276.5,hypovolemia,0.169,0.149,FALSE,FALSE
PheCode:355.1,chronic pain syndrome,0.176,0.148,FALSE,FALSE
PheCode:389.4,tinnitus,0.169,0.148,FALSE,FALSE
RXNORM:236778,trospium,0.203,0.148,FALSE,FALSE
PheCode:386.9,dizziness and giddiness (light-headedness and vertigo),0.205,0.147,FALSE,FALSE
PheCode:342,hemiplegia,0.202,0.147,FALSE,FALSE
PheCode:714.1,rheumatoid arthritis,0.184,0.145,FALSE,FALSE
PheCode:766,"neuralgia, neuritis, and radiculitis nos",0.187,0.145,FALSE,FALSE
PheCode:350.5,abnormal reflex,0.187,0.144,FALSE,FALSE
PheCode:292.4,altered mental status,0.176,0.144,FALSE,FALSE
PheCode:303.1,dissociative disorder,0.217,0.142,FALSE,FALSE
PheCode:318,tobacco use disorder,0.192,0.142,FALSE,FALSE
PheCode:696.4,psoriasis,0.178,0.142,FALSE,FALSE
PheCode:433.3,cerebral ischemia,0.17,0.142,FALSE,FALSE
PheCode:358,myoneural disorders,0.176,0.142,FALSE,FALSE
PheCode:772.2,spasm of muscle,0.225,0.142,FALSE,FALSE
PheCode:317.1,alcoholism,0.179,0.141,FALSE,FALSE
PheCode:743.11,osteoporosis nos,0.21,0.141,FALSE,FALSE
PheCode:334.2,anterior horn cell disease,0.186,0.141,FALSE,FALSE
PheCode:279,disorders involving the immune mechanism,0.182,0.14,FALSE,FALSE
PheCode:772,symptoms of the muscles,0.211,0.14,FALSE,FALSE
PheCode:337,disorders of the autonomic nervous system,0.185,0.14,FALSE,FALSE
PheCode:743.4,stress fracture,0.172,0.139,FALSE,FALSE
PheCode:368,visual disturbances,0.168,0.138,FALSE,FALSE
PheCode:346,abnormal findings on study of brain and/or nervous system,0.173,0.138,FALSE,FALSE
RXNORM:214551,estradiol/norethindrone,0.2,0.137,FALSE,FALSE
PheCode:563,constipation,0.18,0.136,FALSE,FALSE
PheCode:344,other paralytic syndromes,0.255,0.136,FALSE,FALSE
PheCode:726.1,enthesopathy,0.182,0.135,FALSE,FALSE
PheCode:495,asthma,0.21,0.134,FALSE,FALSE
PheCode:414.2,ascvd,0.171,0.134,FALSE,FALSE
PheCode:348,other conditions of brain,0.185,0.134,FALSE,FALSE
PheCode:333,extrapyramidal disease and abnormal movement disorders,0.185,0.134,FALSE,FALSE
PheCode:610.2,fibroadenosis of breast,0.226,0.133,FALSE,FALSE
PheCode:743.1,osteoporosis,0.187,0.133,FALSE,FALSE
PheCode:626.4,premenstrual tension syndromes,0.198,0.132,FALSE,FALSE
PheCode:596,other disorders of bladder,0.272,0.132,FALSE,FALSE
RXNORM:125933,cranberry,0.183,0.132,FALSE,FALSE
RXNORM:1300786,mirabegron,0.171,0.132,FALSE,FALSE
PheCode:773,pain in limb,0.166,0.131,FALSE,FALSE
PheCode:292.1,aphasia/speech disturbance,0.184,0.131,FALSE,FALSE
PheCode:334.1,spinocerebellar disease,0.214,0.131,FALSE,FALSE
CCS:212,diagnostic physical therapy,0.192,0.13,FALSE,FALSE
PheCode:332,parkinson's disease,0.17,0.13,FALSE,FALSE
PheCode:799,debility unspecified,0.181,0.13,FALSE,FALSE
RXNORM:119565,tolterodine,0.204,0.129,FALSE,FALSE
PheCode:230,kaposi's sarcoma,0.176,0.128,FALSE,FALSE
PheCode:174,breast cancer,0.191,0.127,FALSE,FALSE
RXNORM:5882,interferon gamma-1b,0.176,0.125,FALSE,FALSE
PheCode:313.3,autism,0.233,0.124,FALSE,FALSE
CCS:218,psychological and psychiatric evaluation and therapy,0.21,0.124,FALSE,FALSE
PheCode:907,injuries to the nervous system,0.213,0.122,FALSE,FALSE
PheCode:290.16,vascular dementia,0.263,0.121,FALSE,FALSE
PheCode:760,back pain,0.174,0.121,FALSE,FALSE
PheCode:350.2,abnormality of gait,0.188,0.121,FALSE,FALSE
PheCode:345.1,epilepsy,0.176,0.12,FALSE,FALSE
PheCode:347,cataplexy and narcolepsy,0.167,0.119,FALSE,FALSE
PheCode:272.11,hypercholesterolemia,0.182,0.119,FALSE,FALSE
PheCode:433,cerebrovascular disease,0.193,0.117,FALSE,FALSE
PheCode:343,infantile cerebral palsy,0.198,0.116,FALSE,FALSE
PheCode:1005,other symptoms,0.166,0.116,FALSE,FALSE
PheCode:278.1,obesity,0.17,0.114,FALSE,FALSE
RXNORM:11416,zinc,0.165,0.114,FALSE,FALSE
PheCode:289.3,personal history of diseases of blood and blood-forming organs,0.168,0.114,FALSE,FALSE
CCS:234,pathology,0.2,0.111,FALSE,FALSE
RXNORM:3322,diazepam,0.201,0.107,FALSE,FALSE
PheCode:707,chronic ulcer of skin,0.2,0.104,FALSE,FALSE
PheCode:716.3,kaschin-beck disease,0.169,0.103,FALSE,FALSE
PheCode:745,pain in joint,0.169,0.103,FALSE,FALSE
PheCode:599,other symptoms/disorders or the urinary system,0.209,0.103,FALSE,FALSE
PheCode:591,urinary tract infection,0.207,0.094,FALSE,FALSE
RXNORM:54251,oxybutynin chloride,0.202,0.091,FALSE,FALSE
PheCode:041.21,rheumatic fever / chorea,0.18,0.09,FALSE,FALSE
PheCode:250,diabetes mellitus,0.18,0.086,FALSE,FALSE
RXNORM:57258,tizanidine,0.195,0.083,FALSE,FALSE
PheCode:564,functional digestive disorders,0.191,0.082,FALSE,FALSE
RXNORM:214299,benzocaine/docusate,0.202,0.076,FALSE,FALSE
